FACILITY_CODE,LONG_NAME,FACILITY_NUMBER,OWNED LEASED,INSIDE MIO,GSF,BUILDING AGE,,
SCM,Stevens Court M,1329,OWNED,Y,"30,952",1983,,
SCK,Stevens Court K,1250,OWNED,Y,"24,531",1983,,
SCL,Stevens Court L,1251,OWNED,Y,"48,972",1983,,
MAR,Marine Studies Building,1122,OWNED,Y,"31,290",1983,,
SCB,Stevens Court B,1245,OWNED,Y,"22,449",1983,,
SCC,Stevens Court C,1246,OWNED,Y,"30,486",1983,,
SCD,Stevens Court D,1247,OWNED,Y,"14,009",1983,,
SCH,Stevens Court H,1248,OWNED,Y,"7,671",1983,,
SGS,3947 University Way N.E.,1285,OWNED,Y,"3,136",1984,,
PO5,Plant Operations Annex 5,1040,OWNED,Y,485,1985,,
NHS,Northwest Horticultural Society Hall,1291,OWNED,Y,"3,932",1985,,
ISA,Isaacson Hall,1102,OWNED,Y,"2,983",1986,,
UMEC,"UW Medical Center, Wing EC",1256,OWNED,Y,"35,754",1987,,
WLA,Wilson Annex,1022,OWNED,Y,"4,154",1987,,
MUE,Mueller Hall,1109,OWNED,Y,"16,687",1987,,
UMEB,"UW Medical Center, Wing EB",1255,OWNED,Y,"88,753",1987,,
UMEA,"UW Medical Center, Wing EA",1254,OWNED,Y,"187,132",1987,,
BRA,Bryants Annex,1059,LEASED,Y,321,1988,,
GUA,Guggenheim Annex,1344,OWNED,Y,"3,945",1988,,
DRC,Douglas Research Conservatory,1103,OWNED,Y,"12,894",1988,,
GAB,Graves Annex Building,1275,OWNED,Y,"32,098",1988,,
OTT,"Roosevelt I, 4225 Roosevelt Way NE",1074,OWNED,N,"219,248",1988,,
PO6,Plant Operations Annex 6,1026,OWNED,Y,"4,199",1990,,
UFA,University Facilities Annex 1,1027,OWNED,Y,"3,482",1990,,
FTR,Fisheries Teaching and Research Building,1104,OWNED,Y,"34,788",1990,,
FLK,Fluke Hall,1111,OWNED,Y,"73,086",1990,,
PSV,Publications Services Building,1106,OWNED,Y,"60,003",1990,,
NTC,Nordstrom Tennis Center,1105,OWNED,Y,"51,439",1990,,
ESB,Environmental Safety Storage Building,1100,OWNED,Y,"4,454",1991,,
ALB,Allen Library,1107,OWNED,Y,"221,635",1991,,
ESO,Environmental Safety Office Building,1017,OWNED,Y,"2,989",1992,,
SHA,Shellhouse Annex 1,1045,OWNED,Y,"3,324",1994,,
PAT,Physics-Astronomy Tower,1243,OWNED,Y,"44,010",1994,,
PAA,Physics-Astronomy Auditorium,1306,OWNED,Y,"59,181",1994,,
PAB,Physics-Astronomy Building,1242,OWNED,Y,"175,930",1994,,
QUC,"Roosevelt II, 4245 Roosevelt Way NE",1075,OWNED,N,"186,000",1994,,
CHB,Chemistry Building,1108,OWNED,Y,"130,227",1995,,
HSK,Fialkow Biomedical Sciences Research Pavilion (K wing),1173,OWNED,Y,"227,640",1995,,
OR1,Plant Operations Annex 7 (Modular),1046,OWNED,Y,"3,999",1996,,
CCC,Child Care Center,1023,OWNED,Y,"3,681",1996,,
OR2,Ocean Research Bldg. #2 (Trailer),1037,OWNED,Y,"3,999",1996,,
WCP,Portage Bay Parking Facility (West Campus Parking Garage),1273,OWNED,Y,"346,532",1996,,
AVA,Faye G. Allen Center for the Visual Arts,1317,OWNED,Y,"43,937",1997,,
EXED,Bank of America Executive Education Center,1316,OWNED,Y,"65,566",1997,,
EE1,Electrical Engineering Building,1008,OWNED,Y,"203,030",1998,,
WSB,Women's Fastpitch Softball Building,1315,OWNED,Y,"16,161",1998,,
BSG,Baseball Grandstand,4055,OWNED,Y,1,1998,,
FSH,Fishery Sciences,1357,OWNED,Y,"130,307",1999,,
OCN,Ocean Sciences Building,1314,OWNED,Y,"111,276",1999,,
IPF,Indoor Practice Facility (Dempsey Indoor Center),3950,OWNED,Y,"95,000",2001,,
ERS,East Receiving Station,4097,OWNED,Y,1,2002,,
RCE,"Roosevelt Commons East, 4311 11th Ave NE",4053,LEASED,N,"88,230",2002,,
CSE,Paul G. Allen Center for Computer Science & Engineering,3991,OWNED,Y,"168,954",2003,,
LAW,William H. Gates Hall,1420,OWNED,Y,"210,117",2003,,
NC7,Nordheim Court 7,1535,OWNED,Y,"31,250",2003,,
UFA2,University Facilities Annex 2 (CPO Annex 2),4250,OWNED,Y,"3,360",2003,,
UMSP,"UW Medical Center, Surgery and Treatment Pavilion",3958,OWNED,Y,"183,325",2003,,
NC1,Nordheim Court 1,4064,OWNED,Y,"31,250",2003,,
NC2,Nordheim Court 2,4061,OWNED,Y,"31,250",2003,,
NC3,Nordheim Court 3,4067,OWNED,Y,"31,250",2003,,
NC4,Nordheim Court 4,4065,OWNED,Y,"31,250",2003,,
NC5,Nordheim Court 5,4066,OWNED,Y,"31,250",2003,,
NC6,Nordheim Court 6,4062,OWNED,Y,"31,250",2003,,
NC8,Nordheim Court 8,4068,OWNED,Y,"31,250",2003,,
NMH,Merrill Hall,4436,OWNED,Y,"16,411",2004,,
L042,909 NE Boat St,4438,LEASED,N,"5,011",2005,,
GNOM,William H. Foege Genome Sciences,4058,OWNED,Y,"119,715",2006,,
BIOE,William H. Foege Bioengineering,4057,OWNED,Y,"144,856",2006,,
RTB,Benjamin Hall Interdisciplinary Research Building (R&T Bldg),4353,OWNED,Y,"130,141",2006,,
L125,"George F. Russell, Jr. Hall, 1414 NE 42nd Street",6144,LEASED,N,"24,156",2009,,
PCAR,PACCAR Hall,5980,OWNED,Y,"135,000",2010,,
CDRE,Cedar East Apartments,6136,OWNED,Y,"78,435",2011,,
CDRW,Cedar West Apartments,6135,OWNED,Y,"97,790",2011,,
POP,Poplar Hall,6138,OWNED,Y,"97,040",2011,,
ALD,Alder Hall,6140,OWNED,Y,"276,146",2012,,
DEM,Dempsey Hall,5981,OWNED,Y,"90,089",2012,,
ELM,Elm Hall,6137,OWNED,Y,"207,017",2012,,
MOL,Molecular Engineering & Sciences Building,6105,OWNED,Y,"90,300",2012,,
ECC,Samuel E. Kelly Ethnic Cultural Center,6337,OWNED,Y,"29,935",2012,,
UMSA,"UW Medical Center, Wing SA - Montlake Tower",6091,OWNED,Y,"182,470",2012,,
MRCA,Mercer Court Building A,6317,OWNED,Y,"110,400",2013,,
LAN,Lander Hall,6210,OWNED,Y,"242,070",2013,,
MRCB,Mercer Court Building B,6377,OWNED,Y,"110,400",2013,,
MRCC,Mercer Court Building C,6378,OWNED,Y,"110,400",2013,,
MRCD,Mercer Court Building D,6379,OWNED,Y,"110,400",2013,,
MRCE,Mercer Court Building E,6380,OWNED,Y,"110,400",2013,,
INT,Intellectual House,6082,OWNED,Y,"8,367",2015,,
MAH,Maple Hall,6211,OWNED,Y,"216,950",2015,,
TEH,Terry Hall,6212,OWNED,Y,"107,900",2015,,
L039,"45th Street Plaza Building, 1100 NE 45th St",4146,LEASED,N,"39,229",,,
L027,664 NE NORTHLAKE WAY,4052,LEASED,N,230,,,
L096,800 NE 42nd Street,6067,LEASED,N,560,,,
L203,"Northcut Landing, East Bldg. 5001 25th Ave NE",6389,LEASED,N,"3,146",,,
RCW,"Roosevelt Commons West, 4300 Roosevelt Way NE",6390,LEASED,N,,,,
PRO,"Warren Building, 909 NE 43rd",1063,LEASED,N,"4,183",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
